id,name_ua,name_en,price,category,description_ua,inStock,sku
home_011,"Набір підтарільників","Placemat set",420,home,"Свіжий набір з 2 підтарільників у поєднанні натурального джуту та зеленого кольору. Розмір 24,5×24,5 см. Нагадує про весняну природу та додає життєвої енергії вашому інтер'єру. Ідеально для еко-стилю.",true,HOME-011
home_012,"Набір підтарільників","Placemat set",800,home,"матеріал - джут, колір - молочний, діаметр - 27 см, набір - 4 шт.",true,HOME-012
home_013,"Кошик для смаколиків","Bread basket",480,home,"матеріал - джут, дерево, колір - натурального джуту, діаметр - 20 см, висота - 7 см",true,HOME-013
home_014,"Кошик для смаколиків","Bread basket",550,home,"матеріал - джут, дерево, колір - натурального джуту, діаметр - 25 см, висота - 7 см",true,HOME-014
home_015,"Кошик для смаколиків","Bread basket",550,home,"матеріал - джут, дерево, колір - натурального джуту, 25/17 см, висота - 6,5 см",true,HOME-015
home_016,"Кошик для смаколиків","Jute basket",450,home,"матеріал - джут, дерево, колір - натурального джуту, чорний, червоний, 20/15 см, висота - 7 см",true,HOME-016
home_017,"Кошик для дрібничок","Jute basket",350,home,"матеріал - джут, колір - молочний , 10/10/11 см",true,HOME-017
home_018,"Кошик для дрібничок","Organizer",450,home,"матеріал - бавовняний шнур, колір - бежевий, 14/14/10 см",true,HOME-018
home_019,"Кошик для дрібничок","Organizer",450,home,"матеріал - бавовняний шнур, колір - чорний , 13/13/12 см",true,HOME-019
home_020,"Кошик для дрібничок","Organizer",350,home,"матеріал - бавовняний шнур, колір - білий, 9/9/10,5 см",true,HOME-020
home_021,"Набір кошиків для дрібничок","Organizer set",480,home,"матеріал - бавовняний шнур, колір - білий, 8/8/10,5 см, набір - 2 шт.",true,HOME-021
home_022,"Набір кошиків для дрібничок","Organizer set",480,home,"матеріал - бавовняний шнур, колір - пастельно-коричневий, 8/8/10,5 см, набір - 2 шт.",true,HOME-022
home_023,"Кошик для дрібничок","Organizer",500,home,"матеріал - бавовняний шнур, дерево, колір - молочний, 15,5/20/7 см, 1 шт.",true,HOME-023
home_024,"Кошик для дрібничок","Organizer",450,home,"матеріал - бавовняний шнур, колір - пастельно-коричневий, 12/20/7 см, 1 шт.",true,HOME-024
home_025,"Набір кошиків для дрібничок","Organizer set",650,home,"матеріал - бавовняний шнур, колір - мокко, 11/21/6 см, 10,5/19/6 см, набір - 2 шт.",true,HOME-025
home_026,"Кошик для дрібничок","Organizer",550,home,"матеріал - бавовняний шнур, дерево, колір - капучіно, 20/20/7 см, 1 шт.",true,HOME-026
ethno_001,"Сумка Стефанія1","Stephania bag",2400,ethno,"матеріал - джут, колір - натурального джуту, чорний, червоний, 39/41-44 см, ручка 50 см, тип - шопер, наплічна, деталі - без відділень, без застібки",true,ETHNO-001
ethno_002,"Сумка Маїна","Maina bag",2300,ethno,"матеріал - джут, колір - натурального джуту, зелений, 41/29-36 см, ручка 53 см, тип - шопер, наплічна, деталі - без відділень, без застібки",true,ETHNO-002
ethno_003,"Сумка Орися","Orysia bag",2200,ethno,"матеріал - джут, дерево, колір - чорний, зелений, коричневий, 45/34-32 см, ручка - дерево, тип - тоут, деталі - без застібки",true,ETHNO-003
ethno_004,"Сумка Меланія","Melania bag",2300,ethno,"матеріал - джут, дерево, колір - натурального джуту, темно-синій, коричневий, 43/36-31 см, ручка - дерево, тип - тоут, деталі - карман для дрібниць, без застібки",true,ETHNO-004
ethno_005,"Сумка Лілі","Lili bag",2000,ethno,"матеріал - джут, шкіряний шнур, колір - натурального джуту, червоний, чорний, 37/36-41 см, ручка 55 см, тип - шопер, деталі - без відділень, наплічна, ручка-стяжка з шкіряного шнура",true,ETHNO-005
ethno_006,"Сумка Мила","Myla bag",1225,ethno,"матеріал - джут, колір - натурального джуту, 27/37/11 см, ручка 67 см, тип - вузлик, наплічна, деталі - без відділень",true,ETHNO-006
ethno_007,"Сумка Єва","Eva bag",1960,ethno,"матеріал - джут, колір - чорний, червоний, 24-9/27-37 см, ручка 47 см, тип - на руку, хобо, деталі - карман для дрібничок, застібка - магнітна кнопка",true,ETHNO-007
ethno_008,"Сумка Рута","Ruta bag",2300,ethno,"матеріал - джут, шкіряний шнур, колір - натурального джуту, зелений, 25-45/36 см, ручка 55 см, тип - шопер, наплічна, деталі - без відділень, ручка-стяжка з шкіряного шнура",true,ETHNO-008
ethno_009,"Сумка Маріка","Marica bag",2300,ethno,"матеріал - джут, шкіряний шнур, колір - натурального джуту, голубий, 26-43/34 см, ручка 55 см, тип - шопер, наплічна, деталі - без відділень, ручка-стяжка з шкіряного шнура",true,ETHNO-009
ethno_010,"Сумка Соломія","Solomia bag",2400,ethno,"матеріал - джут, шкіряний шнур, колір - натурального джуту, червоний, чорний, 30/13/31 см, ручка 50 см, тип - тоут, на руку, деталі - без відділень, ручка-стяжка з шкіряного шнура",true,ETHNO-010
ethno_011,"Сумка Ярина","Yaryna bag",2160,ethno,"матеріал - джут, шкіра, колір - чорний, червоний, коричневий, 24/34 см, ручка 62 см, тип - наплічна, деталі - без відділень, шкіряний плечовий ремінь, застібка - магнітна кнопка",true,ETHNO-011
ethno_012,"Сумка Дана","Dana bag",2940,ethno,"матеріал - джут, колір - натурального джуту, червоний, 10-29/33/54 см, ручка 66 см, тип - наплічна, хобо, деталі - карман для дрібничок",true,ETHNO-012
ethno_013,"Сумка Ліна","Lina bag",2940,ethno,"матеріал - джут, колір - натурального джуту, темно-синій, 10-30/35/51 см, ручка 64 см, тип - наплічна, хобо, деталі - карман для дрібничок",true,ETHNO-013
basic_001,"Сумка Адора","Adora bag",3185,basic,"матеріал - джут, шкіра, колір - натурального джуту, чорний, 30/34/17 см, ручка 45 см, тип - тоут, на руку, деталі - карман для дрібничок, застібка - магнітна кнопка",true,BASIC-001
basic_002,"Сумка Ніла Б","Nyla B bag",2400,basic,"матеріал - джут, шкіра, колір - чорний, коричневий, 43/37/11 см, ручка 66 см, тип - шопер, наплічна, деталі - карман для дрібничок, застібка - шкіряний клапан з кнопкою, шкіряний плечовий ремінь",true,BASIC-002
basic_003,"Сумка Ніла Н","Nyla N bag",2400,basic,"матеріал - джут, шкіра, колір - натурального джуту, коричневий, 38/38/9 см, ручка 62 см, тип - шопер, наплічна, деталі - карман для дрібничок, застібка - шкіряний клапан з кнопкою, шкіряний плечовий ремінь",true,BASIC-003
basic_004,"Сумка Лілі","Lyli bag",2400,basic,"матеріал - джут, шкіра, колір - зелений, коричневий, 34/39/10 см, ручка 66 см, тип - шопер, наплічна, деталі - карман для дрібничок, застібка - шкіряний клапан з кнопкою, шкіряний плечовий ремінь",true,BASIC-004
basic_005,"Сумка Соня","Sonia bag",2300,basic,"матеріал - бавовняний шнур, колір - антрацит, 37/35/10 см, ручка 46 см, тип - шопер, зручний для планшету, ноутбука, деталі - без відділеннь, застібка - немає",true,BASIC-005
basic_006,"Сумка Орі","Ori bag",1960,basic,"матеріал - джут, колір - помаранчевий, 28/36/7 см, ручка 60 см, тип - тоут, зручний для планшету, ноутбука, деталі - без відділеннь, застібка - магнітна кнопка",true,BASIC-006
basic_007,"Сумка Ніка","Nyka bag",2160,basic,"матеріал - джут, колір - чорний, 31/25 - 43/13 см, ручка 87, 17 см, тип - вузлик, наплічна, деталі - карман для дрібничок",true,BASIC-007
basic_008,"Сумка Лея","Leya bag",2060,basic,"матеріал - бавовняний шнур, колір - льон, 32/32 см, ручка 55 см, тип - наплічна, деталі - без відділеннь, застібка- магнітна кнопка",true,BASIC-008
basic_009,"Сумка Арі","Ari bag",2160,basic,"матеріал - бавовняний шнур, шкіра, колір - айворі, коричневий, 40/42 см, ручка 60 см, тип - наплічна, деталі - без відділеннь, застібка - кнопка",true,BASIC-009
basic_010,"Сумка Ліка","Lyka bag",2110,basic,"матеріал - джут, шкіра, колір - натурального джуту, коричневий, 34/36 см, ручка - 60 см, тип - наплічна, деталі - карман для дрібничок, застібка - кнопка",true,BASIC-010
basic_011,"Сумка Дора","Dora bag",2060,basic,"матеріал - джут, шкіряний шнур, колір - графіт, d - 37 см, ручка - 67 см, тип - наплічна, деталі - карман для дрібничок, застібка - магнітна кнопка",true,BASIC-011
basic_012,"Сумка Люсі","Lucy bag",1865,basic,"матеріал - джут, колір - чорний, графіт, 41/31/10 см, ручка - 45 см, тип - тоут,на руку, деталі - без відділеннь, без застібки",true,BASIC-012
basic_013,"Сумка Ема","Ema bag",2060,basic,"матеріал - бавовняний шнур, колір - антрацит, 21/37/8 см, ручка 56 см, тип - на руку, хобо, деталі - карман для дрібничок, застібка - магнітна кнопка",true,BASIC-013
basic_014,"Сумка Кеті","Cathy bag",1720,basic,"матеріал - бавовняний шнур, колір - теракот, 26/13/6 см, ручка 41 см, тип - на руку, деталі - карман для дрібничок, застібка - блискавка",true,BASIC-014
basic_015,"Сумка Кеті","Cathy bag",1720,basic,"матеріал - бавовняний шнур, колір - тополя, 23/13/6 см, ручка 43 см, тип - на руку, деталі - без відділеннь, застібка - блискавка",true,BASIC-015
basic_016,"Сумка Кеті","Cathy bag",1720,basic,"матеріал - бавовняний шнур, колір - синя лагуна, 26/13/6 см, ручка 46 см, тип - на руку, деталі - карман для дрібничок, застібка - блискавка",true,BASIC-016
